open,high,low,close,time
1.1084,1.10893,1.10813,1.10875,87600.0
1.10878,1.10885,1.10795,1.10845,87840.0
1.10835,1.10879,1.1073,1.10764,88080.0
1.1076,1.10953,1.10758,1.10914,88320.0
1.10913,1.10941,1.10883,1.10905,88560.0
1.10906,1.10964,1.1086,1.1093,88800.0
1.10931,1.10974,1.10821,1.10957,89040.0
1.10956,1.11049,1.10899,1.11044,89280.0
1.11044,1.11088,1.10992,1.10993,89520.0
1.10995,1.11082,1.10953,1.11071,89760.0
1.11071,1.11218,1.11071,1.1121,90000.0
1.1121,1.11418,1.11175,1.11322,90240.0
1.11323,1.11593,1.1132,1.11593,90480.0
1.11593,1.11809,1.11519,1.11809,90720.0
1.11808,1.11883,1.11709,1.11754,90960.0
1.11754,1.11942,1.11712,1.11941,91200.0
1.11942,1.12108,1.11915,1.12015,91440.0
1.12014,1.12058,1.11899,1.11952,91680.0
1.11952,1.12023,1.11815,1.11837,91920.0
1.11839,1.12207,1.11839,1.12102,92160.0
1.12102,1.12125,1.11963,1.12021,92400.0
1.1202,1.12118,1.11974,1.12116,92640.0
1.12117,1.12147,1.11987,1.12048,92880.0
1.12046,1.12146,1.12029,1.12128,93120.0
1.12129,1.12388,1.12086,1.1238,93360.0
1.1238,1.12391,1.12162,1.12253,93600.0
1.12254,1.12294,1.12137,1.12139,93840.0
1.12136,1.12244,1.12076,1.1221,94080.0
1.1221,1.12245,1.12008,1.12022,94320.0
1.12021,1.12141,1.1202,1.1205,94560.0
1.12047,1.12048,1.11829,1.11939,94800.0
1.11939,1.1203,1.11635,1.11709,95040.0
1.11708,1.11735,1.11636,1.11719,95280.0
1.11719,1.11784,1.11687,1.11743,95520.0
1.11743,1.11774,1.11643,1.11695,95760.0
1.11696,1.11715,1.11417,1.11437,96000.0
1.11437,1.11488,1.11249,1.11404,96240.0
1.11403,1.11798,1.11353,1.11718,96480.0
1.11718,1.11736,1.11566,1.11578,96720.0
1.11577,1.11685,1.11523,1.11619,96960.0
1.11621,1.11709,1.11606,1.11619,97200.0
1.11618,1.11909,1.11571,1.11882,97440.0
1.11881,1.12055,1.11879,1.11988,97680.0
1.11987,1.12002,1.11809,1.11919,97920.0
1.11923,1.11989,1.11879,1.11975,98160.0
1.11974,1.11979,1.11891,1.11941,98400.0
1.11941,1.11943,1.11877,1.11878,98640.0
1.11878,1.11897,1.11726,1.11835,98880.0
1.11836,1.11862,1.11603,1.11606,99120.0
1.11606,1.11622,1.11335,1.11436,99360.0
1.11435,1.11495,1.11414,1.11488,99600.0
1.11487,1.11682,1.11447,1.11565,99840.0
1.11565,1.11613,1.1145,1.11481,100080.0
1.1148,1.11549,1.11253,1.11419,100320.0
1.11418,1.11419,1.11111,1.11201,100560.0
1.11201,1.11308,1.11087,1.11158,100800.0
1.11159,1.11183,1.11035,1.11035,101040.0
1.11037,1.11195,1.11016,1.11186,101280.0
1.11187,1.1119,1.11127,1.11177,101520.0
1.11176,1.11204,1.1099,1.11031,101760.0
1.11031,1.11173,1.10966,1.11159,102000.0
1.11159,1.11159,1.10924,1.11058,102240.0
1.11058,1.11098,1.11033,1.11049,102480.0
1.11052,1.11094,1.1102,1.11047,102720.0
1.11047,1.11111,1.11036,1.1109,102960.0
1.11091,1.1111,1.10912,1.10955,103200.0
1.10956,1.11136,1.1085,1.1101,103440.0
1.1101,1.11291,1.10862,1.1122,103680.0
1.11222,1.11232,1.11171,1.11197,103920.0
1.11188,1.11213,1.11128,1.11212,104160.0
1.11213,1.11318,1.112,1.11317,104400.0
1.11316,1.11361,1.11156,1.11157,104640.0
1.11158,1.11284,1.11125,1.11191,104880.0
1.11192,1.11469,1.11175,1.11416,105120.0
1.11417,1.11448,1.11331,1.11339,105360.0
1.11338,1.11421,1.11312,1.11358,105600.0
1.11359,1.11387,1.11352,1.11369,105840.0
1.11368,1.11444,1.11303,1.1134,106080.0
1.11339,1.11354,1.11051,1.11107,106320.0
1.11107,1.11327,1.11045,1.11319,106560.0
1.1132,1.11348,1.11246,1.11262,106800.0
1.1126,1.11311,1.11256,1.11296,107040.0
1.11295,1.11346,1.1127,1.1134,107280.0
1.1134,1.11368,1.11185,1.11279,107520.0
1.11279,1.11549,1.11249,1.11477,107760.0
1.11476,1.11634,1.11431,1.1158,108000.0
1.1158,1.11596,1.11481,1.11496,108240.0
1.11495,1.1158,1.1149,1.11535,108480.0
1.11534,1.1155,1.11496,1.11496,108720.0
1.11497,1.11637,1.11445,1.11527,108960.0
1.11528,1.11727,1.11501,1.11512,109200.0
1.11513,1.11602,1.11279,1.11337,109440.0
1.11337,1.11381,1.11317,1.11355,109680.0
1.11355,1.11392,1.11339,1.11371,109920.0
1.11371,1.11425,1.11308,1.11359,110160.0
1.11358,1.11411,1.11248,1.11278,110400.0
1.11277,1.11282,1.1098,1.10988,110640.0
1.10989,1.11061,1.10862,1.10902,110880.0
1.10902,1.10946,1.10886,1.1092,111120.0
1.10922,1.10985,1.10889,1.10955,111360.0
1.10953,1.10989,1.1094,1.10987,111600.0
1.10987,1.11023,1.10821,1.10877,111840.0
1.10877,1.10897,1.10805,1.10828,112080.0
